Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C81223		No	Date Imputation Flag	DATEFL	Date Imputation Flag	Date Imputation Flag: Indicates the level of imputation reflected in a date value.	CDISC ADaM Date Imputation Flag Terminology
C81212	C81223		Date Imputation Flag	D		Day Imputed: Day is imputed.	Day Imputed
C81211	C81223		Date Imputation Flag	M		Month Imputed: Month and day are imputed.	Month Day Imputed
C81210	C81223		Date Imputation Flag	Y		Year Imputed: Entire date (year, month and day) is imputed.	Year Month Day Imputed
C81224		Yes	Derivation Type	DTYPE	Derivation Type	Derivation Type: Analysis value derivation method.	CDISC ADaM Derivation Type Terminology
C81209	C81224		Derivation Type	AVERAGE	Average	A data derivation or imputation technique which sets the analysis value on the record to the subject's average value over a defined set of records.	Average of Value Derivation Technique
C92225	C81224		Derivation Type	BC	Best Case	A data derivation or imputation technique which sets the analysis value on the record to the best possible outcome.	Best Case Imputation Technique
C81201	C81224		Derivation Type	BLOCF	Baseline Observation Carried Forward	A data derivation or imputation technique which sets the analysis value on the record to the subject's non-missing baseline observation.	Baseline Observation Carried Forward Imputation Technique
C132340	C81224		Derivation Type	BOC	Best Observed Case	A data derivation or imputation technique which sets the analysis value on the record to the best outcome recorded within a subject.	Best Observed Case Imputation Technique
C92226	C81224		Derivation Type	BOCF	Best Observation Carried Forward	A data derivation or imputation technique which sets the analysis value on the record to the subject's previous best-case non-missing value.	Best Observation Carried Forward Imputation Technique
C139176	C81224		Derivation Type	EXTRAP	Extrapolation	A data derivation or imputation technique which sets the analysis value on the record to an estimation of a value based on extending a known sequence of values.	Extrapolation Imputation Technique
C170546	C81224		Derivation Type	HALFLLOQ	One Half of Lower Limit of Quantification	A data derivation or imputation technique which sets the analysis value on the record to one half of the lower limit of quantification of a test.	One Half of Lower Limit of Quantification Derivation Technique
C81208	C81224		Derivation Type	INTERP	Interpolation	A data derivation or imputation technique which sets the analysis value on the record to a function of known values to estimate a value within the range.	Interpolation Imputation Technique
C105701	C81224		Derivation Type	LLOD	Lower Limit of Detection	A data derivation or imputation technique which sets the analysis value on the record to the lower limit of detection of a test.	Detection Limit
C170543	C81224		Derivation Type	LLOQ	Lower Limit of Quantification	A data derivation or imputation technique which sets the analysis value on the record to the lower limit of quantification of a test.	Lower Limit of Quantification Derivation Technique
C81198	C81224		Derivation Type	LOCF	Last Observation Carried Forward	A data derivation or imputation technique which sets the analysis value on the record to the subject's previous non-missing value.	Last Observation Carried Forward Imputation Technique
C132341	C81224		Derivation Type	LOV	Last Observed Value	A data derivation or imputation technique which sets the analysis value on the record to the subject's last recorded non-missing observation.	Last Observed Value Imputation Technique
C132342	C81224		Derivation Type	LVPD	Last Value Prior to Dosing	A data derivation or imputation technique which sets the analysis value on the record to the subject's last observed value prior to the start of study treatment.	Last Value Prior to Dosing Imputation Technique
C82868	C81224		Derivation Type	MAXIMUM	Maximum	A data derivation or imputation technique which sets the analysis value on the record to the subject's maximum value over a defined set of records.	Maximum Value Derivation Technique
C82867	C81224		Derivation Type	MINIMUM	Minimum	A data derivation or imputation technique which sets the analysis value on the record to the subject's minimum value over a defined set of records.	Minimum Value Derivation Technique
C53331	C81224		Derivation Type	ML	Maximum Likelihood	A data derivation or imputation technique which sets the analysis value on the record to the estimate that maximizes the probability of observing what has in fact been observed.	Maximum Likelihood Estimation
C81204	C81224		Derivation Type	MOTH	Mean of Other Group	A data derivation or imputation technique which sets the analysis value on the record to the mean value from a comparator or reference group.	Mean of Other Group Imputation Technique
C81207	C81224		Derivation Type	MOV	Mean Observed Value in a Group	A data derivation or imputation technique which sets the analysis value on the record to the mean value observed in a group of subjects.	Mean Observed Value in a Group Imputation Technique
C170545	C81224		Derivation Type	PHANTOM	Phantom Record	A technique that creates a record with a missing analysis value when there is no observed record for a given analysis visit or analysis timepoint.	Phantom Record Imputation Technique
C81205	C81224		Derivation Type	POCF	Penultimate Observation Carried Forward	A data derivation or imputation technique which sets the analysis value on the record to the subject's next-to-last non-missing value.	Penultimate Observation Carried Forward Imputation Technique
C81200	C81224		Derivation Type	SOCF	Screening Observation Carried Forward	A data derivation or imputation technique which sets the analysis value on the record to the subject's non-missing screening observation.	Screening Observation Carried Forward Imputation Technique
C174264	C81224		Derivation Type	ULOD	Upper Limit of Detection	A data derivation or imputation technique which sets the analysis value on the record to the upper limit of detection of a test.	Upper Limit of Detection Imputation Technique
C170544	C81224		Derivation Type	ULOQ	Upper Limit of Quantification	A data derivation or imputation technique which sets the analysis value on the record to the upper limit of quantification of a test.	Upper Limit of Quantification Derivation Technique
C81203	C81224		Derivation Type	WC	Worst Case	A data derivation or imputation technique which sets the analysis value on the record to the worst possible outcome.	Worst Case Imputation Technique
C132343	C81224		Derivation Type	WOC	Worst Observed Case	A data derivation or imputation technique which sets the analysis value on the record to the worst recorded outcome within a subject.	Worst Observed Case Imputation Technique
C81199	C81224		Derivation Type	WOCF	Worst Observed Value Carried Forward	A data derivation or imputation technique which sets the analysis value on the record to the subject's worst-case non-missing observation.	Worst Observation Carried Forward Imputation Technique
C81206	C81224		Derivation Type	WOV	Worst Observed Value in a Group	A data derivation or imputation technique which sets the analysis value on the record to the worst value observed in a group of subjects.	Worst Observed Value in a Group Imputation Technique
C172334		No	Generalized Anxiety Disorder - 7 Version 2 Questionnaire Parameter Code	GAD02PC	Generalized Anxiety Disorder - 7 Version 2 Questionnaire Parameter Code	A parameter code codelist for the Generalized Anxiety Disorder - 7 Version 2 Questionnaire (GAD-7 V2) to support the calculation of total score in ADaM.	CDISC ADaM Generalized Anxiety Disorder-7 Version 2 Questionnaire Parameter Code Terminology
C172451	C172334		Generalized Anxiety Disorder - 7 Version 2 Questionnaire Parameter Code	GAD02TS	GAD02-Total Score - Analysis	Generalized Anxiety Disorder - 7 Version 2 - Total score used for analysis.	Generalized Anxiety Disorder - 7 Version 2 - Analysis
C172335		No	Generalized Anxiety Disorder - 7 Version 2 Questionnaire Parameter Name	GAD02PN	Generalized Anxiety Disorder - 7 Version 2 Questionnaire Parameter Name	A parameter name codelist for the Generalized Anxiety Disorder - 7 Version 2 Questionnaire (GAD-7 V2) to support the calculation of total score in ADaM.	CDISC ADaM Generalized Anxiety Disorder-7 Version 2 Questionnaire Parameter Name Terminology
